tickers,Name,method,aic,aicc,bic,sigma,closePrice,lowGrowth,meanGrowth,highGrowth,predicted,highGrowthLim,lowGrowthLim
AACG,Ata Creativity Global,"ARIMA(0,1,3)",-645.64,-645.48,-631.46,0,0.97,-0.3,0.02,0.34,0.99,1.31,0.67
AACI,Armada Acquisition Corp. I,"ARIMA(1,1,3) with drift",-785.75,-785.41,-764.48,0,10.7,-0.17,0.02,0.21,10.72,10.91,10.53
AADI,"Aadi Bioscience, Inc.","ARIMA(0,1,0) with drift",74.56,74.61,81.65,0.08,4.38,-2.04,-0.32,1.41,4.06,5.79,2.34
AADR,AdvisorShares Dorsey Wright ADR ETF,"ARIMA(0,1,0)",396.86,396.88,400.41,0.27,47.17,-3.24,0,3.24,47.17,50.41,43.93
AAL,American Airlines Group Inc.,"ARIMA(0,1,0)",170.17,170.19,173.72,0.11,11.15,-2.08,0,2.08,11.15,13.23,9.07
AAME,Atlantic American Corp,"ARIMA(2,1,1) with drift",-668.85,-668.61,-651.13,0,1.72,-0.26,-0.01,0.24,1.71,1.96,1.46
AAOI,"Applied Optoelectronics, Inc.","ARIMA(0,1,0)",464.01,464.02,467.55,0.36,7.43,-3.7,0,3.7,7.43,11.13,3.73
AAON,"Aaon, Inc.","ARIMA(1,1,0)",872.77,872.82,879.86,1.75,54.48,-7.76,0,7.76,54.48,62.24,46.72
AAPB,GraniteShares 1.75x Long AAPL Daily ETF,"ARIMA(1,1,1)",461.99,462.09,472.63,0.35,22.55,-3.81,0.02,3.84,22.57,26.39,18.74
AAPL,Apple Inc.,"ARIMA(4,1,0)",1213.88,1214.12,1231.61,6.56,170.77,-14.98,0.01,14.99,170.78,185.76,155.79
AAXJ,iShares MSCI All Country Asia ex Japan ETF,"ARIMA(0,2,1)",594.45,594.5,601.53,0.59,61.41,-5.82,-0.66,4.51,60.75,65.92,55.59
ABAT,American Battery Technology Co,"ARIMA(0,1,1)",459.73,459.78,466.82,0.35,4.86,-4.73,-0.21,4.32,4.65,9.18,0.13
ABCB,Ameris Bancorp,"ARIMA(0,1,0)",686.71,686.73,690.26,0.85,37.3,-5.71,0,5.71,37.3,43.01,31.59
ABCL,Abcellera Biologics Inc.,"ARIMA(4,1,0) with drift",63.86,64.2,85.13,0.07,4.11,-2.23,-0.21,1.8,3.9,5.91,1.88
ABCM,Abcam Plc,"ARIMA(4,1,0)",402.53,402.77,420.26,0.28,22.92,-2.98,0,2.98,22.92,25.9,19.94
ABEO,Abeona Therapeutics Inc.,"ARIMA(1,1,0)",-218.11,-218.06,-211.02,0.02,3.82,-1.06,0,1.06,3.82,4.88,2.76
ABIO,"Arca Biopharma, Inc.","ARIMA(0,1,0)",-1009.29,-1009.28,-1005.75,0,1.79,-0.21,0,0.21,1.79,2,1.58
ABL,"Abacus Life, Inc.","ARIMA(2,1,2)",79.25,79.49,96.98,0.08,6.11,-1.71,-0.02,1.68,6.09,7.79,4.4
ABNB,"Airbnb, Inc.","ARIMA(4,1,1)",1354.87,1355.21,1376.15,11.32,118.29,-21.15,-0.08,21,118.21,139.29,97.14
ABOS,"Acumen Pharmaceuticals, Inc.","ARIMA(0,1,5)",213.87,214.21,235.14,0.13,1.87,-1.72,0.1,1.92,1.97,3.79,0.15
ABSI,Absci Corp,"ARIMA(2,1,1)",-299.38,-299.22,-285.2,0.02,1.3,-0.79,-0.01,0.77,1.29,2.07,0.51
ABUS,Arbutus Biopharma Corp,"ARIMA(1,1,1)",-621.79,-621.69,-611.15,0.01,1.83,-0.39,0,0.39,1.83,2.22,1.44
ABVC,"Abvc Biopharma, Inc.","ARIMA(0,1,1)",292.32,292.37,299.41,0.18,1.08,-1.89,0.05,1.99,1.13,3.07,-0.81
ACAB,Atlantic Coastal Acquisition Corp. Ii,"ARIMA(2,1,0) with drift",-1122.7,-1122.54,-1108.52,0,10.6,-0.08,0.02,0.13,10.62,10.73,10.52
ACAC,Acri Capital Acquisition Corp,"ARIMA(4,1,1) with drift",-845,-844.54,-820.18,0,11.01,-0.19,-0.02,0.15,10.99,11.16,10.82
ACACU,Acri Capital Acquisition Corp,"ARIMA(0,1,5)",-163.67,-163.33,-142.4,0.03,10.97,-0.59,0.04,0.68,11.01,11.65,10.38
ACACU,Acri Capital Acquisition Corporation - Unit,"ARIMA(0,1,5)",-163.67,-163.33,-142.4,0.03,10.97,-0.59,0.04,0.68,11.01,11.65,10.38
ACAD,Acadia Pharmaceuticals Inc,"ARIMA(0,1,0)",556.65,556.66,560.19,0.51,22.57,-4.43,0,4.43,22.57,27,18.14
ACBA,Ace Global Business Acquisition Ltd,"ARIMA(0,1,2) with drift",-918.18,-918.02,-904,0,11.62,-0.08,0.05,0.17,11.67,11.79,11.54
